,city,total_absences,percent_missed
157,Topeka,9,19.1489361702128
158,Topeka,5,10.6382978723404
159,Topeka,7,14.8936170212766
160,Overland Park,5,10.6382978723404
161,Topeka,8,28.5714285714286
162,Topeka,7,14.8936170212766
163,Topeka,6,12.7659574468085
164,Topeka,9,19.1489361702128
165,Topeka,14,29.7872340425532
166,Kansas City,16,34.0425531914894
167,Kansas City,5,10.6382978723404
168,Topeka,7,17.5
169,Topeka,11,23.4042553191489
170,Overland Park,12,25.531914893617
171,Kansas City,22,46.8085106382979
172,Topeka,7,14.8936170212766
173,Kansas City,14,38.8888888888889
174,Oketo,21,44.6808510638298
175,Overland Park,9,19.1489361702128
176,Kansas City,5,10.6382978723404
177,Kansas City,14,29.7872340425532
178,Topeka,5,10.6382978723404
179,Topeka,7,14.8936170212766
180,Topeka,11,23.4042553191489
181,Topeka,10,21.2765957446808
182,Topeka,6,12.7659574468085
183,Overland Park,5,10.6382978723404
184,Pomona,5,10.6382978723404
185,Topeka,8,17.0212765957447
186,Topeka,5,12.5
187,Topeka,18,38.2978723404255
188,Topeka,7,14.8936170212766
189,Topeka,6,12.7659574468085
190,Topeka,12,25.531914893617
191,Topeka,10,21.2765957446808
192,Topeka,19,40.4255319148936
193,Topeka,5,10.6382978723404
194,Topeka,5,10.6382978723404
195,Topeka,9,19.1489361702128
196,Topeka,9,21.9512195121951
197,Topeka,8,17.0212765957447
198,Quenemo,5,12.5
199,Topeka,5,10.6382978723404
200,Topeka,15,31.9148936170213
201,Topeka,9,19.5652173913043
202,Kansas City,23,48.936170212766
203,Topeka,5,10.6382978723404
204,Topeka,6,12.7659574468085
205,Topeka,10,21.2765957446808
206,Topeka,10,21.2765957446808
207,Topeka,5,10.6382978723404
208,Topeka,12,25.531914893617
209,Topeka,19,40.4255319148936
210,Topeka,7,14.8936170212766
211,Topeka,6,12.7659574468085
212,Garnett,7,14.8936170212766
213,Topeka,7,14.8936170212766
214,Topeka,5,10.6382978723404
215,Kansas City,6,12.7659574468085
216,Overland Park,22,46.8085106382979
217,Kansas City,5,10.6382978723404
218,Topeka,5,22.7272727272727
219,Topeka,8,17.0212765957447
220,Topeka,5,10.6382978723404
221,Topeka,16,34.0425531914894
222,White Cloud,21,44.6808510638298
223,Topeka,12,25.531914893617
224,Kansas City,6,12.7659574468085
225,Topeka,5,10.6382978723404
226,Topeka,8,17.0212765957447
227,Topeka,15,31.9148936170213
228,Topeka,13,27.6595744680851
229,Topeka,8,17.7777777777778
230,Topeka,11,23.4042553191489
231,Topeka,5,10.6382978723404
232,Kansas City,5,10.6382978723404
233,Topeka,5,10.6382978723404
234,Topeka,7,20
235,Robinson,15,31.9148936170213
236,Topeka,5,10.6382978723404
237,Topeka,7,14.8936170212766
238,Topeka,11,36.6666666666667
239,Overland Park,9,19.1489361702128
240,Topeka,9,19.1489361702128
241,Overland Park,22,46.8085106382979
242,Mission,5,10.6382978723404
243,Topeka,19,40.4255319148936
244,Overland Park,8,17.0212765957447
245,Kansas City,13,27.6595744680851
246,Topeka,11,23.4042553191489
247,Topeka,9,19.1489361702128
248,Topeka,7,14.8936170212766
249,Topeka,6,12.7659574468085
250,Randolph,5,10.6382978723404
251,Topeka,10,21.2765957446808
252,Topeka,4,11.4285714285714
253,Topeka,7,14.8936170212766
254,Kansas City,10,21.2765957446808
255,Topeka,6,12.7659574468085
256,Topeka,8,17.0212765957447
257,Kansas City,7,14.8936170212766
258,Kansas City,11,23.4042553191489
259,Topeka,15,34.0909090909091
260,Overland Park,14,29.7872340425532
261,Topeka,5,10.6382978723404
262,Overland Park,16,34.0425531914894
263,Kansas City,16,34.0425531914894
264,Kansas City,7,14.8936170212766
265,Topeka,11,23.4042553191489
266,Topeka,22,46.8085106382979
267,Topeka,9,25.7142857142857
268,Kansas City,5,10.6382978723404
269,Overland Park,22,46.8085106382979
270,Topeka,16,34.0425531914894
271,Topeka,16,34.0425531914894
272,Kansas City,6,13.3333333333333
273,Topeka,7,14.8936170212766
274,Overland Park,3,10.7142857142857
275,Topeka,11,27.5
276,Overland Park,17,47.2222222222222
277,Topeka,9,19.1489361702128
278,Topeka,6,12.7659574468085
279,Topeka,10,21.2765957446808
280,Topeka,5,10.6382978723404
281,Topeka,5,10.6382978723404
282,Topeka,8,17.0212765957447
283,Kansas City,7,14.8936170212766
284,Overland Park,13,27.6595744680851
285,Overland Park,8,17.0212765957447
286,Dwight,6,14.2857142857143
287,Seneca,5,10.6382978723404
288,Basehor,5,10.6382978723404
289,Topeka,16,34.0425531914894
290,Kansas City,10,21.2765957446808
291,Kansas City,14,30.4347826086957
292,Topeka,5,10.6382978723404
293,Topeka,5,11.6279069767442
294,Topeka,7,14.8936170212766
295,Topeka,7,14.8936170212766
296,Topeka,7,14.8936170212766
297,Topeka,5,10.6382978723404
298,Topeka,8,17.0212765957447
299,Topeka,5,10.6382978723404
300,Overland Park,5,10.6382978723404
301,Topeka,16,34.0425531914894
302,Overland Park,5,10.8695652173913
303,Topeka,22,46.8085106382979
304,Overland Park,5,10.6382978723404
305,Kansas City,5,10.6382978723404
306,Topeka,5,10.6382978723404
307,Seneca,5,10.6382978723404
308,Overland Park,5,10.6382978723404
309,Kansas City,20,42.5531914893617
310,Topeka,7,14.8936170212766
311,White Cloud,9,19.1489361702128
312,Kansas City,5,10.6382978723404
313,Kansas City,5,10.6382978723404
314,Sabetha,6,13.3333333333333
315,White Cloud,6,12.7659574468085
316,Topeka,21,44.6808510638298
317,Topeka,13,27.6595744680851
318,Baldwin City,11,23.4042553191489
319,Topeka,5,10.6382978723404
320,Overland Park,13,27.6595744680851
321,Leonardville,10,21.2765957446808
322,Topeka,18,38.2978723404255
323,Overland Park,5,10.6382978723404
324,Topeka,18,38.2978723404255
325,Kansas City,7,14.8936170212766
326,Topeka,8,17.0212765957447
327,Topeka,7,14.8936170212766
328,Topeka,5,10.6382978723404
329,Topeka,9,19.1489361702128
330,Topeka,7,14.8936170212766
331,Topeka,6,12.7659574468085
332,Topeka,11,27.5
333,Topeka,9,19.1489361702128
334,Topeka,16,34.0425531914894
335,Topeka,5,10.6382978723404
336,Topeka,16,34.7826086956522
337,Topeka,6,12.7659574468085
338,Topeka,6,12.7659574468085
339,Overland Park,7,14.8936170212766
340,Topeka,15,31.9148936170213
341,Topeka,22,46.8085106382979
342,Topeka,22,46.8085106382979
343,Overland Park,5,10.6382978723404
344,Topeka,17,36.1702127659575
345,Kansas City,6,12.7659574468085
346,Topeka,12,25.531914893617
347,Topeka,5,10.6382978723404
348,Kansas City,5,16.1290322580645
349,Kansas City,7,14.8936170212766
350,Redfield,5,10.6382978723404
351,Oneida,17,36.1702127659575
352,Kansas City,15,31.9148936170213
353,Overland Park,7,14.8936170212766
354,Topeka,5,10.6382978723404
355,Topeka,6,12.7659574468085
356,Overland Park,5,10.6382978723404
357,Topeka,8,17.0212765957447
358,Topeka,13,28.2608695652174
359,Kansas City,13,27.6595744680851
360,Topeka,14,29.7872340425532
361,Topeka,9,19.1489361702128
362,Overland Park,15,31.9148936170213
363,Topeka,6,12.7659574468085
364,Topeka,6,12.7659574468085
365,Topeka,6,12.7659574468085
366,Kansas City,5,10.6382978723404
367,Topeka,5,10.6382978723404
368,Overland Park,9,19.1489361702128
369,Topeka,5,10.6382978723404
370,Topeka,11,23.4042553191489
371,Kansas City,3,10
372,Kansas City,9,19.1489361702128
373,Shawnee,13,27.6595744680851
374,Topeka,12,25.531914893617
375,Topeka,5,10.6382978723404
376,Topeka,5,10.6382978723404
377,Topeka,5,10.6382978723404
378,Topeka,8,29.6296296296296
379,Topeka,18,38.2978723404255
380,Overland Park,7,14.8936170212766
381,Topeka,14,31.8181818181818
382,Kansas City,7,14.8936170212766
383,Kansas City,5,10.6382978723404
384,Topeka,11,34.375
385,Kansas City,7,14.8936170212766
386,Topeka,9,19.1489361702128
387,Topeka,5,10.6382978723404
388,Topeka,13,27.6595744680851
389,Topeka,7,14.8936170212766
390,Topeka,12,25.531914893617
391,Topeka,6,12.7659574468085
392,Topeka,7,14.8936170212766
393,Topeka,14,29.7872340425532
394,Shawnee,8,17.0212765957447
395,Topeka,17,36.1702127659575
396,Topeka,9,19.1489361702128
397,Valley Falls,5,10.6382978723404
398,Topeka,13,27.6595744680851
399,Kansas City,5,10.6382978723404
400,Overland Park,10,21.2765957446808
401,Topeka,6,12.7659574468085
402,Topeka,5,10.6382978723404
403,Lecompton,22,46.8085106382979
404,Kansas City,5,10.6382978723404
405,Topeka,11,23.4042553191489
406,Topeka,5,10.6382978723404
407,Topeka,5,10.6382978723404
408,Topeka,5,10.6382978723404
409,Topeka,9,25
410,Topeka,6,15.7894736842105
411,White Cloud,5,10.6382978723404
412,Topeka,6,12.7659574468085
413,Topeka,22,46.8085106382979
414,Topeka,11,23.4042553191489
415,Topeka,14,29.7872340425532
416,Kansas City,10,21.2765957446808
417,Arma,6,12.7659574468085
418,Topeka,5,10.6382978723404
419,Topeka,10,21.2765957446808
420,Topeka,16,34.0425531914894
421,Overland Park,16,34.0425531914894
422,Topeka,14,29.7872340425532
423,Topeka,8,17.0212765957447
424,White Cloud,19,40.4255319148936
425,Overland Park,7,14.8936170212766
426,Topeka,5,10.6382978723404
427,Topeka,8,17.0212765957447
428,Overland Park,6,12.7659574468085
429,Kansas City,5,10.6382978723404
430,Topeka,16,34.0425531914894
431,Elwood,8,17.0212765957447
432,Topeka,18,38.2978723404255
433,White Cloud,5,10.6382978723404
434,Topeka,14,29.7872340425532
435,Overland Park,5,10.6382978723404
436,Topeka,6,12.7659574468085
437,Topeka,13,27.6595744680851
438,Topeka,7,14.8936170212766
439,Topeka,9,19.1489361702128
440,Topeka,23,48.936170212766
441,Topeka,8,17.3913043478261
442,Kansas City,14,29.7872340425532
443,Topeka,6,13.0434782608696
444,Topeka,7,14.8936170212766
445,Topeka,8,17.0212765957447
446,Kansas City,5,10.6382978723404
447,Topeka,6,12.7659574468085
448,Overland Park,18,38.2978723404255
449,Topeka,5,10.6382978723404
450,Topeka,10,21.2765957446808
451,Kansas City,12,25.531914893617
452,Topeka,11,23.4042553191489
453,Topeka,7,14.8936170212766
454,Lawrence,19,40.4255319148936
455,Topeka,16,34.0425531914894
456,Overland Park,22,50
457,Kansas City,6,12.7659574468085
458,Topeka,5,14.2857142857143
459,Rantoul,12,25.531914893617
460,Topeka,13,27.6595744680851
461,Topeka,5,10.6382978723404
462,Kansas City,8,23.5294117647059
463,Mc Louth,6,13.953488372093
464,Overland Park,20,42.5531914893617
465,Topeka,6,12.7659574468085
466,Topeka,7,14.8936170212766
467,Lawrence,5,10.6382978723404
468,Topeka,14,29.7872340425532
469,Overland Park,19,40.4255319148936
470,Topeka,19,40.4255319148936
471,Topeka,7,14.8936170212766
472,Topeka,16,34.0425531914894
473,Overland Park,17,36.1702127659575
474,Belvue,6,12.7659574468085
475,Topeka,13,27.6595744680851
476,Topeka,5,11.3636363636364
477,Topeka,9,37.5
478,Topeka,14,29.7872340425532
479,Girard,6,12.7659574468085
480,Kansas City,23,48.936170212766
481,Kansas City,8,17.0212765957447
482,Kansas City,11,24.4444444444444
483,Topeka,7,14.8936170212766
484,Topeka,13,27.6595744680851
485,Topeka,10,21.2765957446808
486,Havensville,8,17.0212765957447
487,Topeka,7,14.8936170212766
488,White Cloud,4,10.5263157894737
489,Topeka,16,34.0425531914894
490,Topeka,12,25.531914893617
491,Moran,16,34.0425531914894
492,Topeka,18,38.2978723404255
493,Topeka,7,14.8936170212766
494,Topeka,13,27.6595744680851
495,Topeka,16,34.0425531914894
496,Topeka,11,25.5813953488372
497,Topeka,15,31.9148936170213
498,Topeka,9,19.1489361702128
499,Americus,9,19.1489361702128
500,Topeka,5,12.8205128205128
501,Topeka,8,20.5128205128205
502,Topeka,6,12.7659574468085
503,Topeka,5,10.6382978723404
504,Topeka,5,11.9047619047619
505,Topeka,6,12.7659574468085
506,Topeka,7,14.8936170212766
507,Hepler,7,14.8936170212766
508,Topeka,8,17.0212765957447
509,Opolis,12,25.531914893617
510,Kansas City,6,12.7659574468085
511,Topeka,14,29.7872340425532
512,Overland Park,12,25.531914893617
513,Topeka,21,47.7272727272727
514,Overland Park,12,25.531914893617
515,Topeka,5,10.6382978723404
516,Kansas City,14,29.7872340425532
517,Topeka,11,23.4042553191489
518,Overland Park,5,10.6382978723404
519,Kansas City,8,17.0212765957447
520,Topeka,6,12.7659574468085
521,Topeka,7,14.8936170212766
522,Topeka,5,10.8695652173913
523,Topeka,8,17.0212765957447
524,Kansas City,5,10.6382978723404
525,Overland Park,12,26.0869565217391
526,Topeka,7,14.8936170212766
527,Topeka,9,19.1489361702128
528,Topeka,8,17.0212765957447
529,Topeka,11,23.4042553191489
530,Topeka,6,12.7659574468085
531,Topeka,17,36.1702127659575
532,Topeka,3,10
533,Topeka,8,17.0212765957447
534,Overland Park,6,12.7659574468085
535,Kansas City,7,14.8936170212766
536,Topeka,5,10.6382978723404
537,New Albany,5,10.6382978723404
538,Topeka,5,10.6382978723404
539,Topeka,8,17.0212765957447
540,Topeka,7,14.8936170212766
541,Topeka,7,14.8936170212766
542,Topeka,6,12.7659574468085
543,Topeka,11,23.4042553191489
544,Topeka,7,14.8936170212766
545,Kansas City,5,11.1111111111111
546,Kansas City,6,12.7659574468085
547,Topeka,5,10.6382978723404
548,Topeka,8,17.0212765957447
549,Topeka,12,25.531914893617
550,Kansas City,6,12.7659574468085
551,Overland Park,6,12.7659574468085
552,Topeka,12,25.531914893617
553,Topeka,6,12.7659574468085
554,Topeka,9,19.1489361702128
555,Topeka,19,40.4255319148936
556,Kansas City,7,14.8936170212766
557,Topeka,22,46.8085106382979
558,Overland Park,20,42.5531914893617
559,Topeka,8,17.0212765957447
560,Topeka,12,25.531914893617
